Company Name,Industry,Sub-Industry / Activity,Confidence,Source,Rows in source list
AWS EUROPE LTD,Distribution,Consumer goods distribution,Medium,Name-derived,1
AYOUB MOOSA GOLDSMITH EQUIP. TR. L.L.C,Industrial Distribution,Goldsmith tools & equipment,High,Name-derived,2
AZIZI INVESTMENTS,Real Estate,Property development,High,Name-derived,5
AZTECH TRAINING & CONSULTANCY,Training & Consultancy,Corporate training provider,High,Name-derived,1
B&S WORLD SUPPLY DMCC,Distribution,Consumer goods wholesale to travel retail,High,Name-derived,5
B&S WORLD SUPPLY FZCO,Distribution,Consumer goods wholesale to travel retail,High,Name-derived,1
BAB AL SAFA TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
BAB AL SHINDHAGA VEGITABLES & FRUITS TRADING L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
BACK & PRO DMCC,Health & Fitness,Sports & physio products,Medium,Name-derived,4
BADER GAS SUPPLY EST,Industrial Distribution,Industrial & LPG gas supply,High,Name-derived,1
BAFCO TRADING LLC,Furniture & Interiors,Office furniture & interiors,High,Name-derived,2
BARAJOUN ENTERTAINMENT FZ LLC,Media & Entertainment,Film / animation production,High,Name-derived,4
BARAKAT AL MADI FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
BARKA FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,3
BARRICK FOODS TRADING L.L.C,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived,2
BARTAWI CONTRACTING L.L.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived,4
BASCO GULF FRUITS & VEGETABLES TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
BASE LLC,Unclassified,Insufficient information in name,Low,Name-derived,4
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived,9
BCI FITOUT CONTRACTING LLC,Fit-Out & Joinery,Interior fit-out contracting,High,Name-derived,2
BDH MIDDLE EAST LLC,Laboratory Supplies,"Lab chemicals, glassware, instruments & lab fit-out",High,Web-verified,5
BEAUTY CHINA TRADING LLC,Cosmetics & Personal Care,Beauty products trading,High,Name-derived,2
BEAUTY OASIS GENERAL TRADING LLC,Cosmetics & Personal Care,Beauty products trading,High,Name-derived,4
BEERAN KUTTY TRADING,Trading & Distribution,General trading,Low,Name-derived,3
BELAL KABUL BAKHTAR MONEY SERVICE PROVIDER,Financial Services,Money exchange & remittance,High,Name-derived,4
BELVEN DWC LLC,Industrial Distribution,Industrial valves,High,Name-derived,5
BENNETT ENGINEERING LLC,Engineering Services,Engineering services,Medium,Name-derived,1
BERG INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,4
BEST CHOICE INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,1
BEST METAL STEEL TRADING LLC,Steel & Metals Trading,Steel trading,High,Name-derived,1
BEST POWER ELECTROMECHANICAL TRADING COMPANY L. L. C,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,2
BHATIA GENERAL CONTRACTING COMPANY,Construction & Contracting,Building & civil contracting,Medium,Name-derived,4
BILLIONAIRE MANSION DUBAI,Hospitality,Restaurant & nightlife venue,High,Name-derived,1
BIN SHABIB DRUG STORE (BR OF AW BIN SHABIB INVESTMENT LLC),Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,1
BIN YAROOF TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
BINDALMOUK,Unclassified,Insufficient information in name,Low,Name-derived,1
BIO FOOT HEALTH CARE MEDICAL EQUIPMENTS LLC,Medical Supplies,Orthopaedic / podiatry products,High,Name-derived,2
BIO GREEN FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,5
BIOPHARMA MIDDLE EAST & AFRICA,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,4
BIOSCIENCE GMBH COSMETICS TRADING LLC,Cosmetics & Personal Care,Cosmetics trading,High,Name-derived,4
BIOTECHNOLOGY INTERNATIONAL CO L. L. C,Medical & Diagnostics,Lab & diagnostics equipment,High,Name-derived,7
BISMI INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,11
BITS IMPEX GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
BLACK STAR LOUNGE RESTAURANTS MANAGEMENT LLC,Food Service,Restaurant management,High,Name-derived,1
BLACK TULIP FRESH PRODUCE LLC,Fresh Produce & Grocery,Fresh produce distribution,High,Name-derived,1
BLACKBOX GLOBAL LUXURY GROUP DMCC,Luxury Retail,Luxury goods trading,High,Name-derived,1
BLOOMBER GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
BLUE HORIZON SERVICES & OIL FIELD MAINTENANCE LLC,Oil & Gas Services,Oilfield maintenance services,High,Name-derived,5
BLUE LINE ESTABLISHMENT,Unclassified,Insufficient information in name,Low,Name-derived,1
BLUE LINE L.L.C – S.P.C.,Unclassified,Insufficient information in name,Low,Name-derived,1
BLUE OCEAN HEALTH FZ LLC,Healthcare,Health services / products,Medium,Name-derived,2
BMJ INDUSTRIES FZ LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,1
BOMBAY CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
BORG ROLLS WARNER MIDDLE EAST LLC,Automotive Parts Trading,Aftermarket spare parts for European trucks & heavy equipment,High,Web-verified,2
BOSE UAE TRADING L.L.C,Consumer Electronics,Audio equipment distribution (Bose),High,Name-derived,3
BPAS FOODSUFF TRADING,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
BRAINFREEZE INTERIOR DECORATION LLC,Fit-Out & Joinery,Interior decoration,High,Name-derived,1
BRANDS ELECTRICAL EQUIPMENT LLC,Electrical Trading,Electrical products & services,Medium,Name-derived,2
BRANO GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
BRANO TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
BRIGADE PLUS ELECTROMECHANICAL WORKS LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,2
BRIGHT LINE REFRIGERATION AND AIR CONDITIONING TRADING LLC,HVAC Trading,Refrigeration & AC equipment,High,Name-derived,1
BRIGHT STONE GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
BROCADE GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
BROTHERS COOL AC SPARE PARTS TRADING LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
BRU MIDDLE EAST FZE,Textiles & Apparel Trading,Furnishing fabrics,High,Name-derived,1
BRU TEXTILES NV,Textiles & Apparel Trading,Furnishing fabrics,High,Name-derived,1
BULGARI MIDDLE EAST BRANCH,Luxury Retail,Jewellery & watches (LVMH / Bulgari),High,Name-derived,5
BURAQ ALLAIL BUILDING CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,16
BUSS ENGINEERING & HEAVY EQUIPMENT REPAIRING LLC,Equipment Maintenance,Heavy equipment repair,High,Name-derived,3
C.J. TEC CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
C4C TECHNOLOGIES LLC,IT Services,Technology solutions,Medium,Name-derived,2
CALCULAZ INTERNATIONAL FZE,Technology,Technology / business solutions,Low,Name-derived,1
CALICUT EASTERN GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
CAMTECH MANUFACTURING FZCO,Manufacturing - Machinery,Valves & instrumentation fittings,High,Name-derived,5
CAPITAL BUSINESS CHANNEL TV FZ LLC,Media & Entertainment,TV broadcasting,High,Name-derived,3
CARNABY GENERAL TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
CASAL LLC,Unclassified,Insufficient information in name,Low,Name-derived,10
CASH CUSTOMER,Not a company,Walk-in / cash sales ledger account,High,Name-derived,1
CASPIAN GULF FZE,Trading & Distribution,General trading,Low,Name-derived,1
CASTLE REFRIGERATION EQUIPMENT TRADING LLC,HVAC Trading,Refrigeration equipment,High,Name-derived,1
CAVALIER CLEAN CLEANING BUILDINGS - SOLE PROPRIETORSHIP L.L.C,Facilities Management,Building cleaning services,High,Name-derived,1
CEDAR PHARMACEUTICALS LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,5
CENTAUR ELECTRO MECHANICAL CONTRACTING CO. (L.L.C),MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,1
CENTURY EQUIPMENT COMPANY LLC,Industrial Equipment,Equipment supply,Medium,Name-derived,1
CHAUDHRY ALTAF TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
CHENADAN FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
CHINA STATE CONSTRUCTION ENGRG. CORP.(MIDDLE EAST) LLC,Construction & Contracting,Main contractor (CSCEC),High,Name-derived,3
CHOCO PALACE CHOCOLATE FACTORY L.L.C,Manufacturing - Food,Chocolate & confectionery,High,Name-derived,1
CIMAC,Unclassified,Insufficient information in name,Low,Name-derived,1
CIRCLE K,Retail,Convenience stores / forecourt retail,High,Name-derived,7
CITADEL PROPERTIES LLC,Real Estate,Property development / management,High,Name-derived,2
CITY EXPERTS CONSTRUCTIONS L.L.C.,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
CITY SPACE LLC,Fit-Out & Joinery,Interior fit-out,Medium,Name-derived,5
CIVIL POWER GENERAL CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,3
CLA EMIRATES CHARTERED ACCOUNTANTS AND AUDITORS LLC,Professional Services,"Audit, tax & advisory",High,Name-derived,1
CLEAN BLAST INTERNATIONAL L.L.C.,Metal Treatment Services,Blasting & surface preparation,High,Name-derived,1
COASTAL INVESTMENT,Investment & Holding,Investment company,Medium,Name-derived,7
COCOA PALACE SWEETS (S.P.S - L.L.C),Manufacturing - Food,Confectionery & sweets,High,Name-derived,1
COMFORT ELEVATORS & ESCALATORS,Elevators & Escalators,Lift installation & maintenance,High,Name-derived,5
Company T R E,Unclassified,Insufficient information in name,Low,Name-derived,6
CONCAVE TRADING,Trading & Distribution,General trading,Low,Name-derived,1
CONCORDIA INTERNATIONAL MIDDLE EAST FZ-LLC,Facilities Management,Integrated FM services,High,Name-derived,2
CONSTECH CONSTRUCTION LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
CONSTRUCTION DYNAMICS,Construction & Contracting,Contracting,High,Name-derived,2
CONTROL & APPLICATIONS EMIRATES L.L.C.,MEP & Electromechanical,Control systems & instrumentation,High,Name-derived,1
COOL LINE. RAD.& AUTO.SPARE PARTS TR.L L C,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,4
COOLLINE RADIATORS AND AC SPARE PARTS TRADING,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
CORE METAL LLC,Manufacturing - Metals,Metal fabrication,Medium,Name-derived,5
CORNISH ARABIAN ALUMINIUM FACTORY LLC,Manufacturing - Building Products,Aluminium products,High,Name-derived,2
CORODEX TRADING CO. LLC,Water Treatment,Water treatment & pumps,High,Name-derived,4
CORPORATE CONNECTION GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
CORPORATE SERVICES INTERNATIONAL N.V.,Professional Services,Corporate services & outsourcing,Medium,Name-derived,6
COSMOS INSURANCE BROKERS LLC,Insurance Services,Insurance broking,High,Name-derived,2
COST CUTTER FRUITS & VEGETABLES TRADING L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,2
COVENTRY ACADEMY FOR EDUCATIONAL DEVELOPMENT,Education,Training & professional development,High,Name-derived,1
CRA TRADING L.L.C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
CRAWFORD MIDDLE EAST LLC,Insurance Services,Loss adjusting & claims management,High,Name-derived,1
CREATIVE VISION GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
CROWN PACIFIC GROUP FZE,Trading & Distribution,International trading group,Medium,Name-derived,3
CRYSTAL CITY BUILDING MATERIALS TRADING L.L.C,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,1
CURE ARENA MEDICAL CENTER LLC,Healthcare,Medical centre,High,Name-derived,1
CURRIE & BROWN,Project & Cost Consultancy,Quantity surveying & cost management,High,Name-derived,5
CUSTOMER DELIGHT ELECTRICAL CONTRACTING LLC. SPC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
CUSTOMER DELIGHT TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
CUSTOMER DELIGHT TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
CYNGBEL LLC,Unclassified,Insufficient information in name,Low,Name-derived,1
D M F TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
D O DOTS CAFE,Food Service,Cafe,High,Name-derived,3
DAG INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
DAISY FRUIT TRADING CO. L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,2
DAMAN CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,9
DAR AL ZAIN GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
DAS COLLECTION LLC,Textiles & Apparel,Luxury designer abayas & womenswear,High,Web-verified,6
DAWOOD TRADING & CONTRACTING L.L.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived,7
DEEP PERFORMANCE AUTO SPAREPARTS TRADING,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
DEIRA TOWER ESTATES L.L.C,Real Estate,Property ownership & leasing,High,Name-derived,2
DEJLA FURAT GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
DELICIOUS FRUITS LTD,Fresh Produce & Grocery,Fruits trading,High,Name-derived,1
DELTA POWER ELECTRICAL LLC,Electrical Trading,Electrical products & services,Medium,Name-derived,4
DELTRON MECHANICAL EQUIPMENT TRADING,Industrial Equipment,Mechanical equipment trading,High,Name-derived,2
DEMIND INVESTMENT,Investment & Holding,Investment company,Medium,Name-derived,6
DENOX RHONE GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
DENPLEX BUILDING MATERIALS TRADING LLC,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,3
DENSO SALES MIDDLE EAST & NORTH AFRICA FZE,Automotive,OEM auto components distribution (Denso),High,Name-derived,4
DERMA HEALTH COSMETICS TR.,Cosmetics & Personal Care,Dermo-cosmetics trading,High,Name-derived,3
DESERT EAGLE HEAVY EQUIPMENT RENTAL LLC,Equipment Rental,Heavy equipment rental,High,Name-derived,1
DESERT KING HEAVY EQPT. RENTAL L.L.C,Equipment Rental,Heavy equipment rental,High,Name-derived,4
DESERT KING QATAR HEAVY EQUIPMENT RENTAL & CONTRACTING W.L.L.,Equipment Rental,Heavy equipment rental & contracting,High,Name-derived,2
DEUTSCHE LUFTHANSA AG,Aviation,Airline,High,Name-derived,6
DEXTER CAPITAL FINANCIAL CONSULTANCY LLC,Financial Services,Financial consultancy,High,Name-derived,2
DFC MIDDLE EAST LIMITED BRANCH,Unclassified,Searched - no public business description found,Low,Web-verified,3
DIAL A BATTERY AUTO SERVICE CENTRE,Automotive Services,Battery replacement & roadside,High,Name-derived,3
DICETEK LLC,IT Services,IT consulting & managed services,High,Name-derived,4
DIGITAL OFFICE LLC,IT Services,Office automation & IT solutions,High,Name-derived,2
DISTRIBUCORP GULF FZE,Distribution,Consumer goods distribution,Medium,Name-derived,4
DIVA ABAYA COUTURE GARMENTS TRADING LLC,Textiles & Apparel Trading,Abaya & couture retail,High,Name-derived,2
DIVERS GROUP LLC,Marine Services,Commercial diving & underwater works,High,Name-derived,5
DNA DATA & ANALYTICS SOLUTIONS,IT Services,Data & analytics consulting,High,Name-derived,2
DOHA QUARRY LLC,Mining & Quarrying,Aggregates & quarry products,High,Name-derived,3
DOMUS FLOWER LLC,Florist & Gifts,Flowers retail,High,Name-derived,3
DR. MOOPENS HEALTH CARE MANAGEMENT SERVICES,Healthcare,Hospital & clinic group management (Aster),High,Name-derived,1
DRAW LINK GROUP,Fit-Out & Joinery,Design & fit-out contracting,High,Name-derived,1
DUBAI AIR WING,Aviation,Government VIP flight operations,High,Name-derived,3
DUBAI FURNITURE MANUFACTURING LLC,Manufacturing - Furniture,Furniture production,High,Name-derived,2
DUBAI MARINE BEACH RESORT AND SPA,Hospitality,Hotel & resort,High,Name-derived,3
DUBATT BATTERY RECYCLING LLC,Recycling & Waste,Lead-acid battery recycling,High,Name-derived,4
DUNCAN & ROSS,HR & Recruitment,Talent consulting & recruitment,High,Name-derived,6
DUPHARM LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,3
DURA PRINTING MATERIALS TRADING L.L.C.,Printing & Publishing,Printing materials supply,High,Name-derived,2
DXB PERFUMES FACTORY LLC,Manufacturing - Cosmetics,Perfume manufacturing,High,Name-derived,1
DYNAMICNORD MIDDLE EAST ASIA & AFRICA FZE,Sports & Outdoor Equipment,"Diving, swimming & watersports gear (DynamicNord brand)",High,Web-verified,1
DYNAMICS AXIS SOFTWARE HOUSE LLC,Software & ERP,Microsoft Dynamics ERP partner,High,Name-derived,1
EASTERN MORRIS CRANES CO. LTD,Industrial Equipment,Cranes & lifting equipment,High,Name-derived,1
EBONITE DECOR LLC,Fit-Out & Joinery,Interior decor & fit-out,High,Name-derived,4
ECO KRAFT INDUSTRIES L.L.C,Manufacturing - Paper & Packaging,Kraft paper & packaging,High,Name-derived,2
EDO DEPARTMENT STORE L.L.C.,Retail,Department store,High,Name-derived,9
EHAF CONSULTING ENGINEERS,Engineering Consultancy,Design & supervision consultancy,High,Name-derived,2
ELECTROFOS DESIGNS LLC,Electrical Trading,Lighting design & supply,High,Name-derived,2
ELECTROMECH FZE,MEP & Electromechanical,Electromechanical services,Medium,Name-derived,1
ELEMEC ELECTROMECHANICAL CONTRACTING LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,6
ELEVATE GLOBAL FZE,Events & Exhibitions,Event staffing & brand activation,Medium,Web-verified,1
ELITE HORIZON GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
ELPAN GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
EMAC ELECTROMECHANICAL L.L.C,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,2
EMINENT CONTRACTING L.L.C.,Construction & Contracting,Building & civil contracting,Medium,Name-derived,5
EMIRATES CRANES TRADING LLC,Industrial Equipment,Cranes & lifting equipment,High,Name-derived,3
EMIRATES GOLD DMCC,Jewellery & Precious Metals,Gold refining & bullion,High,Name-derived,7
EMIRATES GOLD FZCO,Jewellery & Precious Metals,Gold refining & bullion,High,Name-derived,7
EMIRATES MACARONI FACTORY LLC,Manufacturing - Food,Pasta & macaroni production,High,Name-derived,3
EMIRATES NATIONAL COPPER FACTORY LLC,Manufacturing - Metals,Copper products,High,Name-derived,8
EMIRATES ROYAL HOLDING LLC,Investment & Holding,Holding company,Medium,Name-derived,1
EMIRATES SPECIALIZED CONTRACTING & OILFIELD SERVICES L.L.C,Oil & Gas Services,Oilfield contracting,High,Name-derived,2
ENCO VENTURES GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,7
ENFORCE SECURITY SERVICE LLC,Security Services,Manned guarding,High,Name-derived,4
ENGINEERING SOLUTIONS ELECTROMECHANICAL & GENERAL CONTRACTING LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,6
ENGINEERING UNIT GENERAL CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,5
ENGINEERS MIDDLE EAST FZCO,Engineering Services,Engineering services,Medium,Name-derived,3
ENLITE TECHNOLOGIES DMCC,Electrical Trading,Lighting technology,High,Name-derived,2
ENNCON GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
EPICURE CATERING - HEALTH FACTORY,Food Service,Catering & meal production,High,Name-derived,10
EQUIPTEC EQUIPMENTS REPAIRING L.L.C,Equipment Maintenance,Equipment repair,High,Name-derived,2
ESMAEIL MOHD BAYGAN FURNITURE TRDG. LLC,Furniture & Interiors,Furniture trading,High,Name-derived,3
ESSAMEL SAID EXPORT & IMPORT,Trading & Distribution,Import / export,Medium,Name-derived,1
ESTEKANA CAFE LLC,Food Service,Cafe,High,Name-derived,1
ESTIDAMA ENGINEERING CONSULTING – SOLE PROPRIETORSHIP L.L.C.,Engineering Consultancy,Engineering consultancy,High,Name-derived,1
EURO BLAST MIDDLE EAST L.L.C,Metal Treatment Services,Blasting & painting services,High,Name-derived,6
EURO EMIRATES ELECTRO MECHANICAL SERVICES LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,2
EUROPE STRONG FORCE POST TENSIONING LLC,Construction Services,Post-tensioning specialist,High,Name-derived,2
EUROPEAN AUTOSPARES FZC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
EUROPEAN AUTOSPARES FZC & AR Motors,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,5
EUROPEAN AUTOSPARES TRADING LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
EUROPEAN BAKERY,Manufacturing - Food,Bakery,High,Name-derived,1
EUROPEAN BAKERY (BR OF AW BIN SHABIB INVESTEMENT LLC),Manufacturing - Food,Bakery,High,Name-derived,1
EUROSTAR AUTO SPARE PARTS TRADING,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
EVA INTERIOR FITOUTS,Fit-Out & Joinery,Interior fit-out,High,Name-derived,4
EVERGREEN FOOD STUFF TRD. LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,4
EVERSHINE ELECT. SWITCHGEAR MFG. L.L.C,Manufacturing - Electrical,LV switchgear panels,High,Name-derived,2
EVOLUTION EVENTS LLC,Events & Exhibitions,Event management,High,Name-derived,1
EXCEL ASTRA ENGINEERING & CONSTRUCTION LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,6
EXCEL INDUSTRY CO. LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,7
EXCELLENCY GROUP OF MANAGEMENT COMPANIES,Professional Services,Business management services,Medium,Name-derived,2
EXOTIC FRUITS & VEGETABLES TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
EXPENZIA PTE. LTD.,Software & ERP,Spend management software,Medium,Name-derived,1
EXPERT UNITED MARINE SERVICES LLC,Marine Services,Marine services,High,Name-derived,2
EXPRESS FLEXI PACK,Manufacturing - Paper & Packaging,Flexible packaging,High,Name-derived,1
EXTOL INTERNATIONAL FZC,Trading & Distribution,General trading,Low,Name-derived,1
EXTREME PERFORMANCE GARAGE LLC,Automotive Services,Performance vehicle workshop,High,Name-derived,1
F.A.H. GROUP,Diversified Group,Diversified group,Low,Name-derived,1
F1rst Motors L.L.C,Automotive Retail,Luxury & performance car dealership,High,Name-derived,3
FAB MASTER LAUNDRY LLC,Laundry Services,Commercial laundry,High,Name-derived,2
FABRIC LIBRARY FZCO,Textiles & Apparel Trading,Furnishing fabrics,High,Name-derived,1
FACTS COMPUTER SOFTWARE HOUSE LLC,Software & ERP,ERP software vendor,High,Name-derived,3
FAITH HEALTHCARE MANAGEMENT LLC,Healthcare,Healthcare management,High,Name-derived,3
FAKHREE AL HINDI GROUP,Retail,"Imitation jewellery, cosmetics, fragrances & general goods wholesale",High,Web-verified,1
FAKHREE CENTER L.L.C.,Retail,"Imitation jewellery, cosmetics, fragrances & general goods wholesale",High,Web-verified,1
FAKIH IVF LIMITED,Healthcare,Fertility / IVF clinics,High,Name-derived,1
FALCON GLOBAL ARABIAN TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
FALCON GLOBAL GENERAL TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
FALCON PROFESSIONAL KITCHEN LLC,Commercial Kitchen Equipment,Professional kitchen equipment,High,Name-derived,9
FALCON TRADING LLC,Trading & Distribution,General trading,Low,Name-derived,1
FAMILY STAR CONSTRUCTION LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,5
FAMILY TEX CURTAINS FABRICS TRADING LLC,Textiles & Apparel Trading,Curtains & fabrics,High,Name-derived,3
FARM VALE FRUITS AND VEGETABLES TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,3
FARMEX FRESHIA TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
FAST LANE GLOBAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
FASTEC INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,3
FATIMA BINT MUBARAK LADIES SPORTS ACADEMY,Sports & Recreation,Sports academy,High,Name-derived,1
FCBC BUILDING CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,3
FEATHER TOUCH INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,1
FEET WASTE TRANSPORTER,Recycling & Waste,Waste transport,Medium,Name-derived,1
FENGO METALS ENGINEERING,Manufacturing - Metals,Metal fabrication,High,Name-derived,1
FERROFAB FZE,Manufacturing - Steel Fabrication,Steel fabrication,High,Name-derived,1
FERROSTAAL EQUIPMENT SOLUTIONS FZE,Industrial Equipment,Industrial plant & equipment supply,High,Name-derived,1
FERROSTAAL TECHNOLOGY SOLUTIONS LLC,Industrial Equipment,Industrial plant & equipment supply,High,Name-derived,1
FIBRE FRUITS TRADING,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,2
FINE FIELD TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
FINE FRUITS TRADING L. L. C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
FINESSE FABRICS & FURNITURE TRADING,Furniture & Interiors,Fabrics & furniture trading,High,Name-derived,1
FINOTECH SILICONE CHEMICALS LLC,Manufacturing - Chemicals,Silicones & sealants,High,Name-derived,2
FIRE TECH FIRE FIGHTING LLC,Fire & Safety,Fire protection systems,High,Name-derived,1
FIRST AXIS AUTO SPARE PARTS,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
FIRST SECURITY GROUP LLC,Security Services,Manned guarding & systems,High,Name-derived,2
FIRST SOURCE STEELWARE TRADING LLC,Steel & Metals Trading,Steel products trading,High,Name-derived,2
FIVE STAR TEXTILES L.L.C.,Textiles & Apparel Trading,Textile trading,High,Name-derived,1
FLM AUTO SPARE PARTS TRADING LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,8
FLOORTEX FURNISHINGS,Furniture & Interiors,Flooring & furnishings,High,Name-derived,2
FLUX LIGHT GENERAL TRADING LLC,Electrical Trading,Lighting products,High,Name-derived,1
FOCUZ AUTO SPARE PARTS L. L. C,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
FOREVER ROSE LONDON,Florist & Gifts,Preserved roses & luxury gifts,High,Name-derived,2
FORTUNE ENGINEERING & ENERGY SERVICES L.L.C,Oil & Gas Services,Engineering & energy services,High,Name-derived,3
