Column1.PARTYMST_DESC,Industry,Sub-Industry / Activity,Confidence,Source
AMIT INTERNATIONAL GROUP FZE,Trading & Distribution,International trading,Medium,Name-derived
AMIT INTERNATIONAL GROUP FZE,Trading & Distribution,International trading,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived
AMPS MIDDLE EAST FZ-LLC,Industrial Automation,Automation & power systems,Medium,Name-derived
AMRIT KOSH GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AMRIT KOSH GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AMRIT KOSH GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AMRIT KOSH GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANAH LLC,Unclassified,Insufficient information in name,Low,Name-derived
ANC VEGETABLE & FRUITS TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
ANNACHAMB MOHIDEEN GENERAL TRADING L L C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANNACHAMB MOHIDEEN GENERAL TRADING L L C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANNACHAMB MOHIDEEN GENERAL TRADING L L C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANNACHAMB MOHIDEEN GENERAL TRADING L L C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANNACHAMB MOHIDEEN GENERAL TRADING L L C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANNACHAMB MOHIDEEN GENERAL TRADING L L C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANNACHAMB MOHIDEEN GENERAL TRADING L L C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANNACHAMB MOHIDEEN GENERAL TRADING L L C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANOO GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived
APEX ALWATANIAH CATERING SERVICE -SOLE PROPRIETORSHIP LLC,Food Service,Contract catering,High,Name-derived
APEX HOLDING LLC,Investment & Holding,Holding company,Medium,Name-derived
APEX HOLDING LLC,Investment & Holding,Holding company,Medium,Name-derived
APEX HOLDING LLC,Investment & Holding,Holding company,Medium,Name-derived
APEX SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
APEX SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
APEX SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
APEX SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
APEX SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
APJ MANAGEMENT,Professional Services,Business management services,Low,Name-derived
APJ MANAGEMENT,Professional Services,Business management services,Low,Name-derived
APJ MANAGEMENT,Professional Services,Business management services,Low,Name-derived
APJ MANAGEMENT,Professional Services,Business management services,Low,Name-derived
APJ MANAGEMENT,Professional Services,Business management services,Low,Name-derived
APJ MANAGEMENT,Professional Services,Business management services,Low,Name-derived
APJ MANAGEMENT,Professional Services,Business management services,Low,Name-derived
APPOLO GULF GENERAL TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
APTVEL GLOBAL INFORMATION TECHNOLOGIES LLC,IT Services,IT solutions & services,High,Name-derived
AQUAPLEX FZE,Manufacturing - Plastics,Composite / plastic water tanks,High,Name-derived
AQUAPLEX FZE,Manufacturing - Plastics,Composite / plastic water tanks,High,Name-derived
AQUAPLEX FZE,Manufacturing - Plastics,Composite / plastic water tanks,High,Name-derived
AQUAPLEX FZE,Manufacturing - Plastics,Composite / plastic water tanks,High,Name-derived
AQUAPLEX TRADING WLL,Building Materials Trading,Water tanks & plumbing products,High,Name-derived
AQUAPLEX TRADING WLL,Building Materials Trading,Water tanks & plumbing products,High,Name-derived
AQUAPLEX TRADING WLL,Building Materials Trading,Water tanks & plumbing products,High,Name-derived
AQUAPLEX TRADING WLL,Building Materials Trading,Water tanks & plumbing products,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived
AQUATECH LANDSCAPE & CIVIL SERVICES,Landscaping,Landscape & civil works,High,Name-derived
ARAB ITALIAN MARBLES,Building Materials Trading,Marble & natural stone,High,Name-derived
ARAB RAYA COMPANY,Unclassified,No industry signal in the name,Low,Name-derived
ARAB RAYA COMPANY,Unclassified,No industry signal in the name,Low,Name-derived
ARAB RAYA COMPANY,Unclassified,No industry signal in the name,Low,Name-derived
ARABIA ONE INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ARABIAN COAST CONTRACTING LLC,Construction & Contracting,General contracting,High,Name-derived
ARABIAN COAST CONTRACTING LLC,Construction & Contracting,General contracting,High,Name-derived
ARABIAN COAST CONTRACTING LLC,Construction & Contracting,General contracting,High,Name-derived
ARABIAN COAST CONTRACTING LLC,Construction & Contracting,General contracting,High,Name-derived
ARABIAN INDUSTRIAL GASES CO.,Manufacturing - Chemicals,Industrial gases,High,Name-derived
ARCOMA COMMERCIAL AGENCIES LLC,Trading & Distribution,Commercial agencies & distribution,Medium,Name-derived
ARDH AL RABIEE LLC,Unclassified,Searched - no public business description found,Low,Web-verified
ARIANA WORLD WIDE SHIPPING LLC,Shipping,Shipping services,High,Name-derived
ARJOMANDI (MARHABA MTA GENERAL TRADING LLC),Trading & Distribution,General trading & wholesale,Medium,Name-derived
ARJOMANDI (MARHABA MTA GENERAL TRADING LLC),Trading & Distribution,General trading & wholesale,Medium,Name-derived
ARJOMANDI (MARHABA MTA GENERAL TRADING LLC),Trading & Distribution,General trading & wholesale,Medium,Name-derived
ARJOMANDI (MARHABA MTA GENERAL TRADING LLC),Trading & Distribution,General trading & wholesale,Medium,Name-derived
ARKAN SHADE SYSTEMS LLC,Manufacturing - Building Products,Shade structures & tensile,High,Name-derived
ARKAN SHADE SYSTEMS LLC,Manufacturing - Building Products,Shade structures & tensile,High,Name-derived
ARKAN SHADE SYSTEMS LLC,Manufacturing - Building Products,Shade structures & tensile,High,Name-derived
ARKAN SHADE SYSTEMS LLC,Manufacturing - Building Products,Shade structures & tensile,High,Name-derived
ARPAN INTERNATIONAL FZC,Trading & Distribution,General trading,Low,Name-derived
ARPAN INTERNATIONAL FZC,Trading & Distribution,General trading,Low,Name-derived
ARPE LUBRICANTS,Manufacturing - Chemicals,Lubricants & oils,High,Name-derived
ART PALACE ADVERTISING AND PRODUCTION,Marketing Services,Advertising & production,High,Name-derived
ART PALACE ADVERTISING AND PRODUCTION,Marketing Services,Advertising & production,High,Name-derived
ARTS AND GEMS L. L. C.,Jewellery & Precious Metals,Gems & jewellery,High,Name-derived
ARTS AND GEMS L. L. C.,Jewellery & Precious Metals,Gems & jewellery,High,Name-derived
ASHBILIA ALUMINIUM AND GLASS LLC,Manufacturing - Building Products,Aluminium & glass works,High,Name-derived
ASHBILIA ALUMINIUM AND GLASS LLC,Manufacturing - Building Products,Aluminium & glass works,High,Name-derived
ASHBILIA ALUMINIUM AND GLASS LLC,Manufacturing - Building Products,Aluminium & glass works,High,Name-derived
ASHLEY EMIRATES FURNITURE L.L.C,Retail,Furniture retail (Ashley franchise),High,Name-derived
ASHLEY EMIRATES FURNITURE L.L.C,Retail,Furniture retail (Ashley franchise),High,Name-derived
ASHLEY EMIRATES FURNITURE L.L.C,Retail,Furniture retail (Ashley franchise),High,Name-derived
ASSA ABLOY ENTRANCE SYSTEMS LLC,Manufacturing - Building Products,Automatic doors & entrance systems,High,Name-derived
ASSA ABLOY Entrance Systems LLC,Manufacturing - Building Products,Automatic doors & entrance systems,High,Name-derived
ASSA ABLOY Entrance Systems LLC,Manufacturing - Building Products,Automatic doors & entrance systems,High,Name-derived
ASSA ABLOY SECURITY SOLUTIONS METAL INDUSTRIES FACTORY LLC,Manufacturing - Building Products,Security doors & locking hardware,High,Name-derived
ASSA ABLOY SECURITY SOLUTIONS METAL INDUSTRIES FACTORY LLC,Manufacturing - Building Products,Security doors & locking hardware,High,Name-derived
ASSA ABLOY SECURITY SOLUTIONS MIDDLE EAST,Manufacturing - Building Products,Locks & access control hardware,High,Name-derived
ASSA ABLOY SECURITY SOLUTIONS MIDDLE EAST,Manufacturing - Building Products,Locks & access control hardware,High,Name-derived
ASSA ABLOY SECURITY SOLUTIONS MIDDLE EAST,Manufacturing - Building Products,Locks & access control hardware,High,Name-derived
ASSA ABLOY SECURITY SOLUTIONS MIDDLE EAST,Manufacturing - Building Products,Locks & access control hardware,High,Name-derived
ASSA ABLOY SECURITY SOLUTIONS MIDDLE EAST,Manufacturing - Building Products,Locks & access control hardware,High,Name-derived
ASTON PHARMACY LLC,Pharmacy Retail,Community pharmacy,High,Name-derived
ASTON PHARMACY LLC,Pharmacy Retail,Community pharmacy,High,Name-derived
ASTON REAL ESTATE LLC,Real Estate,Real estate brokerage,High,Name-derived
ATAD INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ATAD INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ATAD INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ATAD INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ATGC ELECTROMECHANICAL – SOLE PROPRIETORSHIP L.L.C.,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived
ATGC TRANSPORT & GENERAL CONTRACTING LLC,Freight Transport,Road transport & haulage,Medium,Name-derived
ATGC TRANSPORT & GENERAL CONTRACTING LLC,Freight Transport,Road transport & haulage,Medium,Name-derived
ATOP COMPUTER SOLUTION LLC,IT Services,IT hardware & solutions,High,Name-derived
AUTO VISION TRADING FZCO,Automotive Parts Trading,Auto parts trading,Medium,Name-derived
AUTO VISION TRADING FZCO,Automotive Parts Trading,Auto parts trading,Medium,Name-derived
AUTOCAD CONSTRUCTION,Construction & Contracting,Contracting,Medium,Name-derived
AUTOCOM SPARE PARTS TRADING,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
AUTOCOM SPARE PARTS TRADING,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
AUTOCOM SPARE PARTS TRADING,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
AUTOMECH ENGINEERING CO LLC,Equipment Maintenance,Automotive & mechanical engineering,High,Name-derived
AUTOMECH ENGINEERING CO LLC,Equipment Maintenance,Automotive & mechanical engineering,High,Name-derived
AUTOMECH ENGINEERING CO LLC,Equipment Maintenance,Automotive & mechanical engineering,High,Name-derived
AUTOMECH ENGINEERING CO LLC,Equipment Maintenance,Automotive & mechanical engineering,High,Name-derived
AUTOMECH ENGINEERING CO LLC,Equipment Maintenance,Automotive & mechanical engineering,High,Name-derived
AUTOMECH ENGINEERING CO LLC,Equipment Maintenance,Automotive & mechanical engineering,High,Name-derived
AVANT INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived
AVANT INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived
AVGO MIDDLE EAST FZE,Consumer Electronics,Electronics / appliances distribution,Medium,Name-derived
AVGO MIDDLE EAST FZE,Consumer Electronics,Electronics / appliances distribution,Medium,Name-derived
AVIATION SERVICES MANAGEMENT FZE,Aviation,Aircraft management & support services,High,Name-derived
AVIATION SERVICES MANAGEMENT FZE,Aviation,Aircraft management & support services,High,Name-derived
AVIATION SERVICES MANAGEMENT FZE,Aviation,Aircraft management & support services,High,Name-derived
AVIATION SERVICES MANAGEMENT FZE,Aviation,Aircraft management & support services,High,Name-derived
AVIATION SERVICES MANAGEMENT FZE,Aviation,Aircraft management & support services,High,Name-derived
AW BIN SHABIB INVESTMENT LLC,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
AW BIN SHABIB INVESTMENT LLC,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
AW BIN SHABIB INVESTMENT LLC,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
AW BIN SHABIB INVESTMENT LLC,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
AWAWDEH AUTO SPARE PARTS,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
AWAWDEH AUTO SPARE PARTS,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
AWS AVENUE COMPANY FOR TRADING,Trading & Distribution,General trading,Low,Name-derived
AWS DISTRIBUTION,Distribution,FMCG / consumer goods distribution,Medium,Name-derived
AWS DISTRIBUTION,Distribution,FMCG / consumer goods distribution,Medium,Name-derived
AWS DISTRIBUTION,Distribution,FMCG / consumer goods distribution,Medium,Name-derived
AWS DISTRIBUTION,Distribution,FMCG / consumer goods distribution,Medium,Name-derived
AWS DISTRIBUTION,Distribution,FMCG / consumer goods distribution,Medium,Name-derived
AWS DISTRIBUTION,Distribution,FMCG / consumer goods distribution,Medium,Name-derived
AWS DISTRIBUTION,Distribution,FMCG / consumer goods distribution,Medium,Name-derived
AWS DISTRIBUTION,Distribution,FMCG / consumer goods distribution,Medium,Name-derived
AWS EUROPE LTD,Distribution,Consumer goods distribution,Medium,Name-derived
AYOUB MOOSA GOLDSMITH EQUIP. TR. L.L.C,Industrial Distribution,Goldsmith tools & equipment,High,Name-derived
AYOUB MOOSA GOLDSMITH EQUIP. TR. L.L.C,Industrial Distribution,Goldsmith tools & equipment,High,Name-derived
AZIZI INVESTMENTS,Real Estate,Property development,High,Name-derived
AZIZI INVESTMENTS,Real Estate,Property development,High,Name-derived
AZIZI INVESTMENTS,Real Estate,Property development,High,Name-derived
AZIZI INVESTMENTS,Real Estate,Property development,High,Name-derived
AZIZI INVESTMENTS,Real Estate,Property development,High,Name-derived
AZTECH TRAINING & CONSULTANCY,Training & Consultancy,Corporate training provider,High,Name-derived
B&S WORLD SUPPLY DMCC,Distribution,Consumer goods wholesale to travel retail,High,Name-derived
B&S WORLD SUPPLY DMCC,Distribution,Consumer goods wholesale to travel retail,High,Name-derived
B&S WORLD SUPPLY DMCC,Distribution,Consumer goods wholesale to travel retail,High,Name-derived
B&S WORLD SUPPLY DMCC,Distribution,Consumer goods wholesale to travel retail,High,Name-derived
B&S WORLD SUPPLY DMCC,Distribution,Consumer goods wholesale to travel retail,High,Name-derived
B&S WORLD SUPPLY FZCO,Distribution,Consumer goods wholesale to travel retail,High,Name-derived
BAB AL SAFA TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
BAB AL SAFA TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
BAB AL SHINDHAGA VEGITABLES & FRUITS TRADING L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
BACK & PRO DMCC,Health & Fitness,Sports & physio products,Medium,Name-derived
BACK & PRO DMCC,Health & Fitness,Sports & physio products,Medium,Name-derived
BACK & PRO DMCC,Health & Fitness,Sports & physio products,Medium,Name-derived
BACK & PRO DMCC,Health & Fitness,Sports & physio products,Medium,Name-derived
BADER GAS SUPPLY EST,Industrial Distribution,Industrial & LPG gas supply,High,Name-derived
BAFCO TRADING LLC,Furniture & Interiors,Office furniture & interiors,High,Name-derived
BAFCO TRADING LLC,Furniture & Interiors,Office furniture & interiors,High,Name-derived
BARAJOUN ENTERTAINMENT FZ LLC,Media & Entertainment,Film / animation production,High,Name-derived
BARAJOUN ENTERTAINMENT FZ LLC,Media & Entertainment,Film / animation production,High,Name-derived
BARAJOUN ENTERTAINMENT FZ LLC,Media & Entertainment,Film / animation production,High,Name-derived
BARAJOUN ENTERTAINMENT FZ LLC,Media & Entertainment,Film / animation production,High,Name-derived
BARAKAT AL MADI FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
BARKA FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
BARKA FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
BARKA FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
BARRICK FOODS TRADING L.L.C,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
BARRICK FOODS TRADING L.L.C,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
BARTAWI CONTRACTING L.L.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived
BARTAWI CONTRACTING L.L.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived
BARTAWI CONTRACTING L.L.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived
BARTAWI CONTRACTING L.L.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived
BASCO GULF FRUITS & VEGETABLES TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
BASE LLC,Unclassified,Insufficient information in name,Low,Name-derived
BASE LLC,Unclassified,Insufficient information in name,Low,Name-derived
BASE LLC,Unclassified,Insufficient information in name,Low,Name-derived
BASE LLC,Unclassified,Insufficient information in name,Low,Name-derived
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived
BAY GATE INVESTMENT L.L.C.,Investment & Holding,Investment company,Medium,Name-derived
BCI FITOUT CONTRACTING LLC,Fit-Out & Joinery,Interior fit-out contracting,High,Name-derived
BCI FITOUT CONTRACTING LLC,Fit-Out & Joinery,Interior fit-out contracting,High,Name-derived
BDH MIDDLE EAST LLC,Laboratory Supplies,"Lab chemicals, glassware, instruments & lab fit-out",High,Web-verified
BDH MIDDLE EAST LLC,Laboratory Supplies,"Lab chemicals, glassware, instruments & lab fit-out",High,Web-verified
BDH MIDDLE EAST LLC,Laboratory Supplies,"Lab chemicals, glassware, instruments & lab fit-out",High,Web-verified
BDH MIDDLE EAST LLC,Laboratory Supplies,"Lab chemicals, glassware, instruments & lab fit-out",High,Web-verified
BDH MIDDLE EAST LLC,Laboratory Supplies,"Lab chemicals, glassware, instruments & lab fit-out",High,Web-verified
BEAUTY CHINA TRADING LLC,Cosmetics & Personal Care,Beauty products trading,High,Name-derived
BEAUTY CHINA TRADING LLC,Cosmetics & Personal Care,Beauty products trading,High,Name-derived
BEAUTY OASIS GENERAL TRADING LLC,Cosmetics & Personal Care,Beauty products trading,High,Name-derived
BEAUTY OASIS GENERAL TRADING LLC,Cosmetics & Personal Care,Beauty products trading,High,Name-derived
BEAUTY OASIS GENERAL TRADING LLC,Cosmetics & Personal Care,Beauty products trading,High,Name-derived
BEAUTY OASIS GENERAL TRADING LLC,Cosmetics & Personal Care,Beauty products trading,High,Name-derived
BEERAN KUTTY TRADING,Trading & Distribution,General trading,Low,Name-derived
BEERAN KUTTY TRADING,Trading & Distribution,General trading,Low,Name-derived
BEERAN KUTTY TRADING,Trading & Distribution,General trading,Low,Name-derived
BELAL KABUL BAKHTAR MONEY SERVICE PROVIDER,Financial Services,Money exchange & remittance,High,Name-derived
BELAL KABUL BAKHTAR MONEY SERVICE PROVIDER,Financial Services,Money exchange & remittance,High,Name-derived
BELAL KABUL BAKHTAR MONEY SERVICE PROVIDER,Financial Services,Money exchange & remittance,High,Name-derived
BELAL KABUL BAKHTAR MONEY SERVICE PROVIDER,Financial Services,Money exchange & remittance,High,Name-derived
BELVEN DWC LLC,Industrial Distribution,Industrial valves,High,Name-derived
BELVEN DWC LLC,Industrial Distribution,Industrial valves,High,Name-derived
BELVEN DWC LLC,Industrial Distribution,Industrial valves,High,Name-derived
BELVEN DWC LLC,Industrial Distribution,Industrial valves,High,Name-derived
BELVEN DWC LLC,Industrial Distribution,Industrial valves,High,Name-derived
BENNETT ENGINEERING LLC,Engineering Services,Engineering services,Medium,Name-derived
BERG INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived
BERG INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived
BERG INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived
BERG INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived
BEST CHOICE INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived
BEST METAL STEEL TRADING LLC,Steel & Metals Trading,Steel trading,High,Name-derived
BEST POWER ELECTROMECHANICAL TRADING COMPANY L. L. C,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived
BEST POWER ELECTROMECHANICAL TRADING COMPANY L. L. C,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived
BHATIA GENERAL CONTRACTING COMPANY,Construction & Contracting,Building & civil contracting,Medium,Name-derived
BHATIA GENERAL CONTRACTING COMPANY,Construction & Contracting,Building & civil contracting,Medium,Name-derived
BHATIA GENERAL CONTRACTING COMPANY,Construction & Contracting,Building & civil contracting,Medium,Name-derived
BHATIA GENERAL CONTRACTING COMPANY,Construction & Contracting,Building & civil contracting,Medium,Name-derived
BILLIONAIRE MANSION DUBAI,Hospitality,Restaurant & nightlife venue,High,Name-derived
BIN SHABIB DRUG STORE (BR OF AW BIN SHABIB INVESTMENT LLC),Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
BIN YAROOF TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
BIN YAROOF TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
BINDALMOUK,Unclassified,Insufficient information in name,Low,Name-derived
BIO FOOT HEALTH CARE MEDICAL EQUIPMENTS LLC,Medical Supplies,Orthopaedic / podiatry products,High,Name-derived
BIO FOOT HEALTH CARE MEDICAL EQUIPMENTS LLC,Medical Supplies,Orthopaedic / podiatry products,High,Name-derived
BIO GREEN FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
BIO GREEN FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
BIO GREEN FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
BIO GREEN FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
BIO GREEN FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
BIOPHARMA MIDDLE EAST & AFRICA,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
BIOPHARMA MIDDLE EAST & AFRICA,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
BIOPHARMA MIDDLE EAST & AFRICA,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
BIOPHARMA MIDDLE EAST & AFRICA,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
BIOSCIENCE GMBH COSMETICS TRADING LLC,Cosmetics & Personal Care,Cosmetics trading,High,Name-derived
BIOSCIENCE GMBH COSMETICS TRADING LLC,Cosmetics & Personal Care,Cosmetics trading,High,Name-derived
BIOSCIENCE GMBH COSMETICS TRADING LLC,Cosmetics & Personal Care,Cosmetics trading,High,Name-derived
BIOSCIENCE GMBH COSMETICS TRADING LLC,Cosmetics & Personal Care,Cosmetics trading,High,Name-derived
BIOTECHNOLOGY INTERNATIONAL CO L. L. C,Medical & Diagnostics,Lab & diagnostics equipment,High,Name-derived
BIOTECHNOLOGY INTERNATIONAL CO L. L. C,Medical & Diagnostics,Lab & diagnostics equipment,High,Name-derived
BIOTECHNOLOGY INTERNATIONAL CO L. L. C,Medical & Diagnostics,Lab & diagnostics equipment,High,Name-derived
BIOTECHNOLOGY INTERNATIONAL CO L. L. C,Medical & Diagnostics,Lab & diagnostics equipment,High,Name-derived
BIOTECHNOLOGY INTERNATIONAL CO L. L. C,Medical & Diagnostics,Lab & diagnostics equipment,High,Name-derived
BIOTECHNOLOGY INTERNATIONAL CO L. L. C,Medical & Diagnostics,Lab & diagnostics equipment,High,Name-derived
BIOTECHNOLOGY INTERNATIONAL CO L. L. C,Medical & Diagnostics,Lab & diagnostics equipment,High,Name-derived
BISMI INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
BISMI INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
BISMI INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
BISMI INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
